Name                                                                            Stmts   Miss   Cover   Missing
ciris_engine/logic/conscience/interface.py                                          4      0 100.00%
ciris_engine/logic/context/__init__.py                                              4      0 100.00%
ciris_engine/logic/dma/__init__.py                                                  6      0 100.00%
ciris_engine/logic/dma/action_selection/__init__.py                                 4      0 100.00%
ciris_engine/logic/dma/exceptions.py                                                2      0 100.00%
ciris_engine/logic/formatters/__init__.py                                           5      0 100.00%
ciris_engine/logic/infrastructure/handlers/__init__.py                              2      0 100.00%
ciris_engine/logic/infrastructure/handlers/exceptions.py                            1      0 100.00%
ciris_engine/logic/infrastructure/handlers/handler_registry.py                     19      0 100.00%
ciris_engine/logic/infrastructure/handlers/helpers.py                              11      0 100.00%
ciris_engine/logic/persistence/__init__.py                                          4      0 100.00%
ciris_engine/logic/persistence/db/__init__.py                                       4      0 100.00%
ciris_engine/logic/persistence/models/__init__.py                                   7      0 100.00%
ciris_engine/logic/processors/__init__.py                                          11      0 100.00%
ciris_engine/logic/registries/__init__.py                                           3      0 100.00%
ciris_engine/logic/runtime/__init__.py                                              3      0 100.00%
